service_rank,metric_name,department,priority_level,priority_weight,operational_importance,weighted_kpi_score,previous_weighted_kpi_score,trend_delta,trend_label,performance_vs_target,impact_score,score_selection_method,month_score,quarter_score,week_score,day_score,history_points,history_latest_score,history_trend_change_6,target,metric_logic,service_definition,snapshot_date
1,HOMICIDES (TREND),Public Safety / Crime,High,3,3,9.293430353333331,1.333333,7.960097353333332,Improving,8.293430353333331,24.880291059999994,0.6*month + 0.4*quarter,12.8501617,3.95833333333333,1.33333333333333,,6.0,12.8501617,1.5545418999999985,,historical_average / current_average,Higher CityScore means homicide levels improved versus historical average.,2026-05-16
2,SHOOTINGS (TREND),Public Safety / Crime,High,3,3,1.436683006535946,1.4366827999999998,2.0653594612340953e-07,Stable,0.43668300653594594,1.3100490196078378,0.6*month + 0.4*quarter,1.47549019607843,1.37847222222222,0.611111111111111,,6.0,2.1249078,-0.38889200000000024,,historical_average / current_average,Higher CityScore means fewer shootings versus historical average.,2026-05-16
3,LIBRARY USERS,Library Department,Low,1,1,1.769517311414354,1.7695172,1.114143541869339e-07,Stable,0.7695173114143541,0.7695173114143541,0.6*month + 0.4*quarter,1.78688807031805,1.74346117305881,1.77338118808939,1.6253884,6.0,1.524052,0.008144099999999987,,current_average / historical_average ,Higher usage is better.,2026-05-16
4,CODE ENFORCEMENT ON-TIME %,Public Works / Maintenance,Medium,2,2,1.226794466246068,1.2267944,6.624606796457044e-08,Stable,0.22679446624606792,0.45358893249213583,0.6*month + 0.4*quarter,1.24490212071778,1.1996329845385,1.24067164179104,1.25,,,,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely code enforcement request resolution.,2026-05-16
5,MISSED TRASH ON-TIME %,Public Works / Maintenance,Medium,2,2,1.1986784519007978,1.1986784,5.190079788164326e-08,Stable,0.1986784519007978,0.3973569038015956,0.6*month + 0.4*quarter,1.19767441860465,1.20018450184502,1.23106060606061,1.25,6.0,1.1873259,0.05525040000000003,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% inspected within 1 business day.,2026-05-16
