service_rank,metric_name,department,priority_level,priority_weight,operational_importance,weighted_kpi_score,previous_weighted_kpi_score,trend_delta,trend_label,performance_vs_target,impact_score,score_selection_method,month_score,quarter_score,week_score,day_score,history_points,history_latest_score,history_trend_change_6,target,metric_logic,service_definition,snapshot_date
23,SIGN INSTALLATION ON-TIME %,Public Works / Maintenance,Medium,2,2,0.2052364864864866,0.2052366,-1.1351351339450311e-07,Stable,-0.7947635135135134,-1.5895270270270268,0.6*month + 0.4*quarter,0.185810810810811,0.234375,0.100806451612903,0.8333334,6.0,0.6614786,-0.07450269999999992,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely installation against the CityScore service standard.,2026-05-16
22,POTHOLE ON-TIME %,Public Works / Maintenance,Medium,2,2,0.6238629472407519,0.6238630000000001,-5.27592481924799e-08,Stable,-0.37613705275924814,-0.7522741055184963,0.6*month + 0.4*quarter,0.661764705882353,0.56701030927835,0.80188679245283,0.5,6.0,0.679768,0.05119070000000003,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is 80% repaired within 1 business day.,2026-05-16
21,ON-TIME PERMIT REVIEWS,Permitting Department,Medium,2,2,0.6852573582170098,0.685257,3.582170098326287e-07,Stable,-0.31474264178299016,-0.6294852835659803,0.6*month + 0.4*quarter,0.695519348268839,0.669864373139266,0.712820512820513,0.7142857,6.0,0.83237,-0.005836699999999917,1.0,sum(numerator_value)/sum(denominator_value)/target,Target is 75% reviewed within 20 business days.,2026-05-16
20,STREETLIGHT ON-TIME %,Public Works / Maintenance,Medium,2,2,0.76307218,,,Unknown,-0.23692782,-0.47385564,0.6*month + 0.4*quarter,0.7583103,0.770215,0.78125,1.0416666,6.0,0.7583103,0.022822200000000015,0.8,sum(numerator_value)/sum(denominator_value)/target,Target is timely streetlight repair against the CityScore standard.,2026-05-16
19,CITY SERVICES SATISFACTION SURVEYS,City Services,Medium,2,2,0.7897849462365596,0.7897852000000001,-2.537634404831124e-07,Stable,-0.2102150537634404,-0.4204301075268808,0.6*month + 0.4*quarter,0.805555555555556,0.766129032258065,0.816666666666667,1.25,6.0,0.9652318,0.10412080000000001,4.0,sum(numerator_value)/sum(denominator_value)/target,Average constituent satisfaction target is 4 out of 5.,2026-05-16
