metric_name,score_calculated_ts,target,metric_logic,day_score,day_numerator,day_denominator,week_score,week_numerator,week_denominator,month_score,month_numerator,month_denominator,quarter_score,quarter_numerator,quarter_denominator,latest_score_flag
CITY SERVICES SATISFACTION SURVEYS,2026-05-16 07:20:15,4.0,sum(numerator_value)/sum(denominator_value)/target,,,,1.25,15.0,3.0,1.15384615384615,60.0,13.0,1.09375,140.0,32.0,1
CITY SERVICES SATISFACTION SURVEYS,2026-05-16 07:20:18,4.0,sum(numerator_value)/sum(denominator_value)/target,1.25,10.0,2.0,0.816666666666667,49.0,15.0,0.805555555555556,203.0,63.0,0.766129032258065,380.0,124.0,1
CODE ENFORCEMENT ON-TIME %,2026-03-25 11:25:08,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,51.0,51.0,1.24540441176471,271.0,272.0,1.18653341114678,3253.0,3427.0,1.19260477757116,6670.0,6991.0,0
CODE ENFORCEMENT ON-TIME %,2026-03-31 10:04:02,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,39.0,39.0,1.24113475177305,280.0,282.0,1.18653341114678,3253.0,3427.0,1.19260477757116,6670.0,6991.0,0
CODE ENFORCEMENT ON-TIME %,2026-04-07 11:36:58,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,46.0,46.0,1.24577702702703,295.0,296.0,1.19357142857143,1671.0,1750.0,1.18637189975328,7309.0,7701.0,0
CODE ENFORCEMENT ON-TIME %,2026-04-10 10:58:09,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,28.0,28.0,1.24577702702703,295.0,296.0,1.19357142857143,1671.0,1750.0,1.18637189975328,7309.0,7701.0,0
CODE ENFORCEMENT ON-TIME %,2026-05-16 07:20:18,0.8,sum(numerator_value)/sum(denominator_value)/target,1.25,31.0,31.0,1.24067164179104,266.0,268.0,1.24490212071778,1221.0,1226.0,1.1996329845385,6145.0,6403.0,1
CODE ENFORCEMENT TRASH COLLECTION,2026-03-25 11:25:10,0.8,sum(numerator_value)/sum(denominator_value)/target,1.1228813559322,53.0,59.0,1.15441176470588,314.0,340.0,1.11202635914333,540.0,607.0,1.16693177801343,2641.0,2829.0,0
CODE ENFORCEMENT TRASH COLLECTION,2026-03-31 10:04:02,0.8,sum(numerator_value)/sum(denominator_value)/target,0.784883720930233,27.0,43.0,1.19087837837838,282.0,296.0,1.11202635914333,540.0,607.0,1.16693177801343,2641.0,2829.0,0
CODE ENFORCEMENT TRASH COLLECTION,2026-04-07 11:36:58,0.8,sum(numerator_value)/sum(denominator_value)/target,1.04591836734694,41.0,49.0,1.14864864864865,272.0,296.0,1.12049117421335,1168.0,1303.0,1.12563543936093,2480.0,2754.0,0
