period_type,as_of_date,score,metric_count,source,previous_score,change
day,2016-04-07 00:00:00,1.3579906,,historical_city_aggregate,1.2468318,0.11115879999999989
day,2016-04-08 00:00:00,1.1776729,,historical_city_aggregate,1.3579906,-0.18031770000000003
day,2016-04-11 00:00:00,1.1671563,,historical_city_aggregate,1.1776729,-0.010516599999999876
day,2016-04-12 00:00:00,1.088047,,historical_city_aggregate,1.1671563,-0.07910930000000005
day,2016-04-13 00:00:00,1.1781554,,historical_city_aggregate,1.088047,0.09010840000000009
day,2016-04-14 00:00:00,1.1482829,,historical_city_aggregate,1.1781554,-0.02987249999999997
day,2016-04-15 00:00:00,1.0630406,,historical_city_aggregate,1.1482829,-0.08524230000000022
day,2016-04-18 00:00:00,1.2334824,,historical_city_aggregate,1.0630406,0.1704418000000001
day,2016-04-19 00:00:00,1.0203374,,historical_city_aggregate,1.2334824,-0.21314499999999992
day,2016-04-20 00:00:00,1.1591966,,historical_city_aggregate,1.0203374,0.13885919999999996
day,2016-04-21 00:00:00,1.1051778,,historical_city_aggregate,1.1591966,-0.05401879999999992
day,2016-04-22 00:00:00,1.2201341,,historical_city_aggregate,1.1051778,0.11495630000000001
day,2016-04-25 00:00:00,1.061119,,historical_city_aggregate,1.2201341,-0.1590151000000002
day,2016-04-26 00:00:00,1.215523,,historical_city_aggregate,1.061119,0.15440399999999999
day,2016-04-27 00:00:00,1.2633246,,historical_city_aggregate,1.215523,0.04780160000000011
day,2016-04-28 00:00:00,1.2291795,,historical_city_aggregate,1.2633246,-0.03414509999999993
day,2016-04-29 00:00:00,1.2480428,,historical_city_aggregate,1.2291795,0.018863299999999805
day,2016-05-02 00:00:00,1.2123126,,historical_city_aggregate,1.2480428,-0.035730199999999934
day,2016-05-03 00:00:00,1.1268627,,historical_city_aggregate,1.2123126,-0.08544989999999997
day,2016-05-04 00:00:00,1.062162,,historical_city_aggregate,1.1268627,-0.06470069999999994
day,2016-05-05 00:00:00,1.1552725,,historical_city_aggregate,1.062162,0.09311049999999987
day,2016-05-06 00:00:00,1.1233903,,historical_city_aggregate,1.1552725,-0.03188219999999986
day,2016-05-09 00:00:00,1.2207142,,historical_city_aggregate,1.1233903,0.09732389999999991
day,2016-05-10 00:00:00,1.2097525,,historical_city_aggregate,1.2207142,-0.010961699999999963
day,2016-05-11 00:00:00,1.1724593,,historical_city_aggregate,1.2097525,-0.037293199999999915
day,2016-05-12 00:00:00,1.116126,,historical_city_aggregate,1.1724593,-0.05633330000000014
day,2016-05-13 00:00:00,1.1396733,,historical_city_aggregate,1.116126,0.023547299999999938
day,2016-05-16 00:00:00,1.2211784,,historical_city_aggregate,1.1396733,0.08150510000000022
day,2016-05-17 00:00:00,1.0654782,,historical_city_aggregate,1.2211784,-0.15570020000000007
day,2016-05-18 00:00:00,1.1941513,,historical_city_aggregate,1.0654782,0.12867309999999987
day,2016-05-19 00:00:00,1.0629225,,historical_city_aggregate,1.1941513,-0.13122879999999992
day,2016-05-20 00:00:00,1.1910111,,historical_city_aggregate,1.0629225,0.1280886000000001
day,2016-05-23 00:00:00,1.1098254,,historical_city_aggregate,1.1910111,-0.08118570000000003
day,2016-05-24 00:00:00,1.2057845,,historical_city_aggregate,1.1098254,0.09595909999999996
day,2016-05-25 00:00:00,1.3205831,,historical_city_aggregate,1.2057845,0.11479859999999986
day,2016-05-26 00:00:00,1.2722789,,historical_city_aggregate,1.3205831,-0.0483041999999998
day,2016-05-27 00:00:00,1.1932581,,historical_city_aggregate,1.2722789,-0.07902080000000011
day,2016-05-30 00:00:00,1.1083322,,historical_city_aggregate,1.1932581,-0.0849259
day,2016-05-31 00:00:00,1.0813603,,historical_city_aggregate,1.1083322,-0.026971899999999938
day,2016-06-01 00:00:00,1.211644,,historical_city_aggregate,1.0813603,0.1302836999999999
day,2016-06-02 00:00:00,1.1686116,,historical_city_aggregate,1.211644,-0.04303239999999997
day,2016-06-03 00:00:00,1.0341889,,historical_city_aggregate,1.1686116,-0.1344227
day,2016-06-06 00:00:00,1.0695487,,historical_city_aggregate,1.0341889,0.03535979999999994
day,2016-06-07 00:00:00,1.2916369,,historical_city_aggregate,1.0695487,0.22208820000000018
day,2016-06-08 00:00:00,1.0418146,,historical_city_aggregate,1.2916369,-0.24982230000000016
day,2016-06-09 00:00:00,1.2689915,,historical_city_aggregate,1.0418146,0.22717690000000013
day,2016-06-10 00:00:00,1.2497592,,historical_city_aggregate,1.2689915,-0.01923230000000009
day,2016-06-13 00:00:00,1.0286028,,historical_city_aggregate,1.2497592,-0.22115639999999992
day,2016-06-14 00:00:00,1.1732007,,historical_city_aggregate,1.0286028,0.14459789999999995
day,2016-06-15 00:00:00,1.1106265,,historical_city_aggregate,1.1732007,-0.06257420000000002
day,2016-06-16 00:00:00,1.0940519,,historical_city_aggregate,1.1106265,-0.016574599999999995
day,2016-06-17 00:00:00,1.0878669,,historical_city_aggregate,1.0940519,-0.006184999999999885
day,2016-06-20 00:00:00,1.1493538,,historical_city_aggregate,1.0878669,0.06148690000000001
day,2016-06-21 00:00:00,1.1944317,,historical_city_aggregate,1.1493538,0.04507789999999989
day,2016-06-22 00:00:00,1.1699519,,historical_city_aggregate,1.1944317,-0.02447979999999994
day,2016-06-23 00:00:00,1.1470095,,historical_city_aggregate,1.1699519,-0.02294240000000003
day,2016-06-24 00:00:00,1.0284245,,historical_city_aggregate,1.1470095,-0.11858499999999994
day,2016-06-27 00:00:00,1.05971,,historical_city_aggregate,1.0284245,0.031285499999999855
day,2016-06-28 00:00:00,1.1634665,,historical_city_aggregate,1.05971,0.10375650000000003
day,2016-06-29 00:00:00,1.2371561,,historical_city_aggregate,1.1634665,0.07368960000000002
day,2016-06-30 00:00:00,1.170212,,historical_city_aggregate,1.2371561,-0.06694409999999995
day,2016-07-01 00:00:00,1.2320583,,historical_city_aggregate,1.170212,0.06184630000000002
day,2016-07-04 00:00:00,1.1993623,,historical_city_aggregate,1.2320583,-0.03269600000000006
day,2016-07-05 00:00:00,1.2037207,,historical_city_aggregate,1.1993623,0.0043584000000000955
day,2016-07-06 00:00:00,1.1374115,,historical_city_aggregate,1.2037207,-0.06630920000000007
day,2016-07-07 00:00:00,1.0235088,,historical_city_aggregate,1.1374115,-0.11390269999999991
day,2016-07-08 00:00:00,1.0543783,,historical_city_aggregate,1.0235088,0.030869499999999883
day,2016-07-11 00:00:00,1.0168984,,historical_city_aggregate,1.0543783,-0.0374798999999999
day,2016-07-12 00:00:00,1.0308533,,historical_city_aggregate,1.0168984,0.013954899999999881
day,2016-07-13 00:00:00,1.2592082,,historical_city_aggregate,1.0308533,0.22835490000000003
day,2016-07-14 00:00:00,1.1852556,,historical_city_aggregate,1.2592082,-0.07395259999999992
day,2016-07-15 00:00:00,1.2017367,,historical_city_aggregate,1.1852556,0.016481100000000026
day,2016-07-18 00:00:00,1.1721462,,historical_city_aggregate,1.2017367,-0.029590500000000075
day,2016-07-19 00:00:00,1.1691625,,historical_city_aggregate,1.1721462,-0.0029836999999999225
day,2016-07-20 00:00:00,1.2832924,,historical_city_aggregate,1.1691625,0.1141299
day,2016-07-21 00:00:00,1.1212107,,historical_city_aggregate,1.2832924,-0.1620817000000001
day,2016-07-22 00:00:00,1.0807925,,historical_city_aggregate,1.1212107,-0.04041819999999996
day,2016-07-25 00:00:00,1.3388238,,historical_city_aggregate,1.0807925,0.25803129999999985
day,2016-07-26 00:00:00,1.083723,,historical_city_aggregate,1.3388238,-0.2551007999999999
day,2016-07-27 00:00:00,1.245293,,historical_city_aggregate,1.083723,0.16157
day,2016-07-28 00:00:00,1.3741393,,historical_city_aggregate,1.245293,0.12884629999999997
day,2016-07-29 00:00:00,1.2147463,,historical_city_aggregate,1.3741393,-0.1593929999999999
day,2016-08-01 00:00:00,1.1894701,,historical_city_aggregate,1.2147463,-0.02527619999999997
day,2016-08-02 00:00:00,1.2156661,,historical_city_aggregate,1.1894701,0.026195999999999886
day,2016-08-03 00:00:00,1.0916697,,historical_city_aggregate,1.2156661,-0.1239964
day,2016-08-04 00:00:00,1.0834308,,historical_city_aggregate,1.0916697,-0.008238900000000049
