service_area,metric_count,selected_score_average,day_score_average,week_score_average,month_score_average,quarter_score_average,red_count,amber_count,blue_count,green_count,service_area_order
Public Safety,8,1.0825845552364564,,1.0825845552364564,1.0583979946389912,1.4441540672894084,4,1,1,2,0
Resident Experience,2,1.1199238578680206,1.1199238578680206,0.8986506385326716,0.8741425848762315,0.854254631985321,1,0,0,1,1
Streets And Public Works,6,0.7792521994134896,1.0,0.8358416791161776,0.7922228486807008,0.8061757474982232,3,0,1,2,2
Parks And Public Realm,2,,,,,,0,0,2,0,3
Permits And Code,3,1.070940170940171,1.25,1.0613707698834378,1.0539964333394332,1.0093219994126985,1,0,0,2,4
Education And Civic Life,2,1.77338118808939,,1.77338118808939,1.78688807031805,1.74346117305881,0,0,1,1,5
